Vikas and Leela,Mumbai,Online Study(Aas Vidyalaya),Deal,₹1.5 crore3% Equity,₹1.5 crore15% Equity,"Peyush, Ashneer, Namita"
Kaushal and Sukriti,Calcutta,Surprise Party Planners (Outbox),No Deal,₹50 lakhs5% Equity,No Offer,
Ranjeet Deshmukh,Pune,Obstacles Detector(RoadBounce),Deal,₹80 lakhs10% Equity,₹80 lakhs20% Equity,Peyush
"Vikaas, Pratibha, Vishal Kanoi",Mumbai,Fresh and Hygiene Pizza(Mommy’s Kitchen),No Deal,₹90 lakhs3% Equity,No Offer,
Kshitij and Kanav,New Delhi,OTUA Electric Vehicle(Dandera Technologies Pvt Ltd),Deal,₹1 crore1% Equity,₹1 lakh1% Equity₹99 lakhs at 12% Interest,Ashneer
Jayanti Bhattacharya,Bangalore,Super Food(India Hemp and Co.),No Deal,₹50 lakhs4% Equity,₹20 lakhs10% Equity₹30 lakhs at 12% Interest,
Shruthi Reddy,Kolkata,Funeral Service Provider(Anthyesti Funeral Services),No Deal,₹50 lakhs2% Equity,No Offer,
Pankaj and Bharat,Bangalore,Leather Free Products (Ethik),No Deal,₹15 lakhs5% Equity,No Offer,
Sreeshankar and Romeo,Kerala,IOT Device for Cows(Brainwired),Deal,₹50 lakhs5% Equity,₹60 lakhs10% Equity,"Aman, Namita, Peyush, Ashneer"
Sahil Pruthi,Delhi,Keto Diet Plan(Keto India),No Deal,₹1.5 crore1.25% Equity,₹1.6 crore16% Equity,
"Tejas, Zubin, Dhananjay",Mumbai,LPG Gas Safety Valve(Magic Lock),No Deal,₹1.2 crore8% Equity,No Offer,
Muskaan and Raghav,Bangalore,Regional Food Delivery(The State Plate),Deal,₹65 lakhs2% Equity,₹40 lakhs4% Equity₹25 lakhs Debt,Peyush
Sumit and Divyesh,Mumbai,Comics and Animation(Bakarmax Pvt Ltd),No Deal,₹35 lakhs5% Equity,No Offer,
Sameer and Viraj,Pune,Cocktails(In A Can),Deal,₹50 lakhs2% Equity,₹1 crore10% Equity,All Sharks
Jash Shah and Jimmy Shah,Ahmedabad,Whey Protein Ice-cream(Get-A-Whey),Deal,₹1 crore8% Equity,₹1 crore15% Equity,"Aman, Vineeta, Ashneer"
Siddharth Gupta,Jammu,Lifestyle Products(Sid07 Designs),Deal,₹47 lakhs10% Equity,₹25 lakhs75% Equity ₹22 lakhs Debt,Peyush
Malvica Saxena,Mathura,Customized Shoes/Jackets (The Quirky Naari),Deal,₹35 lakhs5% Equity,₹35 lakhs24% Equity,"Vineeta, Anupam"
Nitin and Rohan,Pune,Meads (Moonshine),No Deal,₹80 lakhs0.5% Equity,₹1 crore2.5% Equity,All Sharks
"Ashish, Jitendra, Piyush",Gurgaon,Hair Extensions(Hair Originals),Deal,₹60 lakhs2% Equity,₹60 lakhs4% Equity,"Anupam, Peyush, Ashneer"
Aditi Sodhi,Punjab,Pre-toilet Spray (Poo-De-Cologne),No Deal,₹75 lakhs5% Equity,No Offer,
"Gulshan, Rahul, Dhruv",Gurgaon,Fresh Fruit Salad/Juices(Falhari),No Deal,₹50 lakhs2% Equity,₹50 lakhs8% Equity,Vineeta
Ridhima Arora,Gurugram,Ayurvedic Enriched Food(Namhya Foods),Deal,₹1 crore5% Equity,₹50 lakhs10% Equity ₹50 lakhs Debt,Aman
Yash Gangwal,Mumbai,OG Streetwear(Urban Monkey),No Deal,₹1 crore1% Equity,₹1 crore10% Equity,Peyush
Tasneem and Ismail Badri,Secunderabad,Luggage Bags(Guardian Gears),No Deal,₹30 lakhs5% Equity,₹30 lakhs30% Equity,"Vineeta, Anupam, Peyush"
Oshina and Saurabh,Delhi,Handcrafted Bags(Modern Myth),No Deal,₹75 lakhs5% Equity,No Offer,
Rishika Nayak,Mumbai,Luxury Soaps (The Sass Bar),Deal,₹40 lakhs8% Equity,₹40 lakhs35% Equity,"Anupam, Ghazal"
Jugadu Kamlesh,Malegaon,Multipurpose Bicycle(KG Agrotech),Deal,₹30 lakhs10% Equity,₹10 lakhs40% Equity₹20 lakhs Loan,Peyush
Alpana and Viral Tiwari,Jaipur,Herbals Products(Nuskha Kitchen),No Deal,₹20 lakhs10% Equity,No Offer,
Priyam Singh,Mumbai,Pets Parenting(PawsIndia),Deal,₹50 lakhs4% Equity,₹50 lakhs15% Equity,Anupam
"Mahatva, Umesh, Priyank, Chetan",Surat,Gluten-free Peanut Butter (Alpino Health Foods Pvt Ltd),No Deal,₹1.5 crore2% Equity,₹1.5 crore8% Equity,"Anupam, Peyush, Vineeta, Namita"
"Rajat, Nitin, Saurabh, Sabit",Dehradun,Pocket Size ECG Device (Spandan),Deal,₹1 crore2% Equity,₹1 crore6% Equity,All Sharks
